bus,p_nom,p_min_pu,type
St Fergus,5035.121760057743,0,Non-networked Electrolysis
Grangemouth,5035.121760057743,0,Non-networked Electrolysis
Teesside,0.0,0,Non-networked Electrolysis
Humberside,0.0,0,Non-networked Electrolysis
Theddlethorpe,0.0,0,Non-networked Electrolysis
Merseyside,5035.121760057743,0,Non-networked Electrolysis
Barrow,0.0,0,Non-networked Electrolysis
Bacton,0.0,0,Non-networked Electrolysis
Grain LNG,0.0,0,Non-networked Electrolysis
Southampton,0.0,0,Non-networked Electrolysis
South Wales,0.0,0,Non-networked Electrolysis
